name,type,position_x,position_y,position_z,size_x,size_y,size_z,color
POS-0101-886-CBD-67037,circle,0.640715,0.8225,0.102744,0.01,0,0,#ff0000
POS-0122-886-CBD-67037,circle,0.644497,0.8225,0.100444,0.01,0,0,#ff0000
POS-0201-886-CBD-67037,circle,0.646521,0.8225,0.100444,0.01,0,0,#ff0000
POS-0201-886-CBD-67037,circle,0.646521,0.8225,0.100444,0.01,0,0,#ff0000
POS-0122-886-CBD-67037,circle,0.644497,0.8225,0.100444,0.01,0,0,#ff0000
POS-0202-886-CBD-67037,circle,0.648,0.8225,0.102144,0.01,0,0,#ff0000
POS-0205-886-CBD-67037,circle,0.649264,0.8217,0.100655,0.01,0,0,#ff0000
POS-0205-886-CBD-67037,circle,0.649264,0.8217,0.100655,0.01,0,0,#ff0000
POS-0207-886-CBD-67037,circle,0.651603,0.8225,0.100655,0.01,0,0,#ff0000
POS-0207-886-CBD-67037,circle,0.651603,0.8225,0.100655,0.01,0,0,#ff0000
POS-0206-886-CBD-67037,circle,0.649236,0.8225,0.100655,0.01,0,0,#ff0000
POS-0206-886-CBD-67037,circle,0.649236,0.8225,0.100655,0.01,0,0,#ff0000
POS-0208-886-CBD-67037,circle,0.654644,0.8225,0.100655,0.01,0,0,#ff0000
POS-0208-886-CBD-67037,circle,0.654644,0.8225,0.100655,0.01,0,0,#ff0000
POS-0128-886-CBD-67038,circle,0.635264,0.819722,0.100896,0.01,0,0,#ff0000
POS-0128-886-CBD-67038,circle,0.635264,0.819722,0.100896,0.01,0,0,#ff0000
POS-0127-886-CBD-67038,circle,0.634,0.819407,0.100896,0.01,0,0,#ff0000
POS-0127-886-CBD-67038,circle,0.634,0.819407,0.100896,0.01,0,0,#ff0000
POS-0127-886-CBD-67038,circle,0.634,0.819407,0.100896,0.01,0,0,#ff0000
POS-0127-886-CBD-67038,circle,0.634,0.819407,0.100896,0.01,0,0,#ff0000
POS-0129-886-CBD-67038,circle,0.637348,0.819722,0.100896,0.01,0,0,#ff0000
POS-0129-886-CBD-67038,circle,0.637348,0.819722,0.100896,0.01,0,0,#ff0000
POS-0129-886-CBD-67038,circle,0.637348,0.819722,0.100896,0.01,0,0,#ff0000
POS-0130-886-CBD-67038,circle,0.63925,0.819722,0.100896,0.01,0,0,#ff0000
POS-0130-886-CBD-67038,circle,0.63925,0.819722,0.100896,0.01,0,0,#ff0000
POS-0130-886-CBD-67038,circle,0.63925,0.819722,0.100896,0.01,0,0,#ff0000
POS-0124-886-CBD-67039,circle,0.634,0.825404,0.100896,0.01,0,0,#ff0000
POS-0124-886-CBD-67039,circle,0.634,0.825404,0.100896,0.01,0,0,#ff0000
POS-0124-886-CBD-67039,circle,0.634,0.825404,0.100896,0.01,0,0,#ff0000
POS-0124-886-CBD-67039,circle,0.634,0.825404,0.100896,0.01,0,0,#ff0000
POS-0125-886-CBD-67039,circle,0.635264,0.825719,0.100896,0.01,0,0,#ff0000
POS-0125-886-CBD-67039,circle,0.635264,0.825719,0.100896,0.01,0,0,#ff0000
POS-0126-886-CBD-67039,circle,0.637348,0.825719,0.100896,0.01,0,0,#ff0000
POS-0126-886-CBD-67039,circle,0.637348,0.825719,0.100896,0.01,0,0,#ff0000
POS-0126-886-CBD-67039,circle,0.637348,0.825719,0.100896,0.01,0,0,#ff0000
POS-0127-886-CBD-67039,circle,0.6393,0.825719,0.100896,0.01,0,0,#ff0000
POS-0127-886-CBD-67039,circle,0.6393,0.825719,0.100896,0.01,0,0,#ff0000
POS-0127-886-CBD-67039,circle,0.6393,0.825719,0.100896,0.01,0,0,#ff0000
POS-0134-886-CBD-67040,circle,0.64178,0.817063,0.101025,0.01,0,0,#ff0000
POS-0134-886-CBD-67040,circle,0.64178,0.817063,0.101025,0.01,0,0,#ff0000
POS-0134-886-CBD-67040,circle,0.64178,0.817063,0.101025,0.01,0,0,#ff0000
POS-0133-886-CBD-67040,circle,0.641138,0.817063,0.10098,0.01,0,0,#ff0000
POS-0133-886-CBD-67040,circle,0.641138,0.817063,0.10098,0.01,0,0,#ff0000
POS-0133-886-CBD-67040,circle,0.641138,0.817063,0.10098,0.01,0,0,#ff0000
POS-0132-886-CBD-67040,circle,0.63955,0.816007,0.100952,0.01,0,0,#ff0000
POS-0132-886-CBD-67040,circle,0.63955,0.816007,0.100952,0.01,0,0,#ff0000
POS-0132-886-CBD-67040,circle,0.63955,0.816007,0.100952,0.01,0,0,#ff0000
POS-0130-886-CBD-67040,circle,0.635966,0.816006,0.100915,0.01,0,0,#ff0000
POS-0130-886-CBD-67040,circle,0.635966,0.816006,0.100915,0.01,0,0,#ff0000
POS-0131-886-CBD-67040,circle,0.637693,0.816006,0.100933,0.01,0,0,#ff0000
POS-0131-886-CBD-67040,circle,0.637693,0.816006,0.100933,0.01,0,0,#ff0000
POS-0131-886-CBD-67040,circle,0.637693,0.816006,0.100933,0.01,0,0,#ff0000
POS-0130-886-CBD-67040,circle,0.635966,0.816006,0.100915,0.01,0,0,#ff0000
POS-0129-886-CBD-67040,circle,0.634001,0.816475,0.100886,0.01,0,0,#ff0000
POS-0129-886-CBD-67040,circle,0.634001,0.816475,0.100886,0.01,0,0,#ff0000
POS-0129-886-CBD-67040,circle,0.634001,0.816475,0.100886,0.01,0,0,#ff0000
POS-0129-886-CBD-67040,circle,0.634001,0.816475,0.100886,0.01,0,0,#ff0000
POS-0130-886-CBD-67041,circle,0.639049,0.822007,0.100947,0.01,0,0,#ff0000
POS-0130-886-CBD-67041,circle,0.639049,0.822007,0.100947,0.01,0,0,#ff0000
POS-0130-886-CBD-67041,circle,0.639049,0.822007,0.100947,0.01,0,0,#ff0000
POS-0127-886-CBD-67041,circle,0.641137,0.82095,0.100977,0.01,0,0,#ff0000
POS-0127-886-CBD-67041,circle,0.641137,0.82095,0.100977,0.01,0,0,#ff0000
POS-0127-886-CBD-67041,circle,0.641137,0.82095,0.100977,0.01,0,0,#ff0000
POS-0129-886-CBD-67041,circle,0.637692,0.822007,0.100933,0.01,0,0,#ff0000
POS-0129-886-CBD-67041,circle,0.637692,0.822007,0.100933,0.01,0,0,#ff0000
POS-0129-886-CBD-67041,circle,0.637692,0.822007,0.100933,0.01,0,0,#ff0000
POS-0128-886-CBD-67041,circle,0.635965,0.822007,0.100915,0.01,0,0,#ff0000
POS-0128-886-CBD-67041,circle,0.635965,0.822007,0.100915,0.01,0,0,#ff0000
POS-0128-886-CBD-67041,circle,0.635965,0.822007,0.100915,0.01,0,0,#ff0000
POS-0126-886-CBD-67041,circle,0.634,0.822477,0.100887,0.01,0,0,#ff0000
POS-0126-886-CBD-67041,circle,0.634,0.822477,0.100887,0.01,0,0,#ff0000
POS-0126-886-CBD-67041,circle,0.634,0.822477,0.100887,0.01,0,0,#ff0000
POS-0126-886-CBD-67041,circle,0.634,0.822477,0.100887,0.01,0,0,#ff0000
POS-0201-886-CBD-67048,circle,0.651603,0.8217,0.100655,0.01,0,0,#ff0000
POS-0201-886-CBD-67048,circle,0.651603,0.8217,0.100655,0.01,0,0,#ff0000
POS-0301-886-CBD-67049,circle,0.647274,0.826,0.11038,0.01,0,0,#ff0000
POS-0301-886-CBD-67049,circle,0.647274,0.826,0.11038,0.01,0,0,#ff0000
POS-0311-886-CBD-67049,circle,0.647274,0.829357,0.110373,0.01,0,0,#ff0000
POS-0311-886-CBD-67049,circle,0.647274,0.829357,0.110373,0.01,0,0,#ff0000
POS-0311-886-CBD-67049,circle,0.647274,0.829357,0.110373,0.01,0,0,#ff0000
POS-0207-886-CBD-67049,circle,0.6606,0.823,0.110415,0.01,0,0,#ff0000
POS-0207-886-CBD-67049,circle,0.6606,0.823,0.110415,0.01,0,0,#ff0000
POS-0205-886-CBD-67049,circle,0.6535,0.82499,0.110395,0.01,0,0,#ff0000
POS-0205-886-CBD-67049,circle,0.6535,0.82499,0.110395,0.01,0,0,#ff0000
POS-0206-886-CBD-67049,circle,0.659,0.82499,0.110408,0.01,0,0,#ff0000
POS-0206-886-CBD-67049,circle,0.659,0.82499,0.110408,0.01,0,0,#ff0000
POS-0209-886-CBD-67049,circle,0.668,0.82,0.110437,0.01,0,0,#ff0000
POS-0209-886-CBD-67049,circle,0.668,0.82,0.110437,0.01,0,0,#ff0000
POS-0208-886-CBD-67049,circle,0.662,0.82,0.110425,0.01,0,0,#ff0000
POS-0208-886-CBD-67049,circle,0.662,0.82,0.110425,0.01,0,0,#ff0000
POS-0210-886-CBD-67049,circle,0.67048,0.827,0.111826,0.01,0,0,#ff0000
POS-0210-886-CBD-67049,circle,0.67048,0.827,0.111826,0.01,0,0,#ff0000
POS-0211-886-CBD-67049,circle,0.67048,0.833,0.111838,0.01,0,0,#ff0000
